Zip,State,Municipality,Metro,County ,Year,Value,Population
28470,NC,Shallotte,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Brunswick County,2017,176878.1066,12045
28472,NC,Whiteville,0,Columbus County,2017,105405.1687,19170
28478,NC,Willard,"Wilmington, NC",Pender County,2017,104135.6976,4758
28479,NC,Winnabow,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Brunswick County,2017,200537.0759,6078
28480,NC,Wrightsville Beach,"Wilmington, NC",New Hanover County,2017,1047212.24,2545
28501,NC,Kinston,"Kinston, NC",Lenoir County,2017,43098.60591,18548
28504,NC,Kinston,"Kinston, NC",Lenoir County,2017,95337.06029,21867
28508,NC,Albertson,0,Duplin County,2017,0,2929
28510,NC,Minnesott Beach,"New Bern, NC",Pamlico County,2017,193130.2852,1399
28511,NC,Atlantic,"Morehead City, NC",Carteret County,2017,120848.9264,678
28512,NC,0,"Morehead City, NC",Carteret County,2017,415732.4667,3291
28513,NC,Ayden,"Greenville, NC",Pitt County,2017,109065.8831,10267
28515,NC,0,"New Bern, NC",Pamlico County,2017,93463.78528,2605
28516,NC,Beaufort,"Morehead City, NC",Carteret County,2017,222739.4571,11247
28518,NC,Beulaville,0,Duplin County,2017,115441.1843,9074
28520,NC,0,"Morehead City, NC",Carteret County,2017,157636.0467,533
28521,NC,Chinquapin,0,Duplin County,2017,111065.0978,2556
28523,NC,Cove City,"New Bern, NC",Craven County,2017,112167.3781,2371
28524,NC,0,"Morehead City, NC",Carteret County,2017,145600.4187,350
28525,NC,Deep Run,"Kinston, NC",Lenoir County,2017,73006.74269,2898
28526,NC,Dover,"New Bern, NC",Craven County,2017,77971.4279,2802
28527,NC,Ernul,"New Bern, NC",Craven County,2017,131276.148,1031
28528,NC,Beaufort,"Morehead City, NC",Carteret County,2017,203258.467,587
28529,NC,0,"New Bern, NC",Pamlico County,2017,106474.9156,2097
28530,NC,Grifton,"Greenville, NC",Pitt County,2017,83928.32622,6812
28531,NC,Harkers Island,"Morehead City, NC",Carteret County,2017,219833.6563,1447
28532,NC,Havelock,"New Bern, NC",Craven County,2017,129072.3435,22047
28538,NC,Hookerton,0,Greene County,2017,0,1929
28539,NC,Hubert,"Jacksonville, NC",Onslow County,2017,154250.0304,15668
28540,NC,Jacksonville,"Jacksonville, NC",Onslow County,2017,129916.7648,49610
28544,NC,Midway Park,"Jacksonville, NC",Onslow County,2017,105241.3104,6051
28546,NC,Jacksonville,"Jacksonville, NC",Onslow County,2017,138112.2753,44830
28551,NC,La Grange,"Kinston, NC",Lenoir County,2017,101513.5032,15139
28553,NC,0,"Morehead City, NC",Carteret County,2017,162815.3298,331
28555,NC,Maysville,"Jacksonville, NC",Onslow County,2017,107708.876,4385
28556,NC,Oriental,"New Bern, NC",Pamlico County,2017,199199.9883,1079
28557,NC,Morehead City,"Morehead City, NC",Carteret County,2017,235976.0487,14978
28560,NC,New Bern,"New Bern, NC",Craven County,2017,139252.7032,27542
28562,NC,Trent Woods,"New Bern, NC",Craven County,2017,171633.6488,38882
28570,NC,Newport,"Morehead City, NC",Carteret County,2017,197326.9151,21584
28571,NC,Oriental,"New Bern, NC",Pamlico County,2017,239975.7849,2521
28572,NC,Pink Hill,"Kinston, NC",Lenoir County,2017,80950.40578,7458
28573,NC,Pollocksville,"New Bern, NC",Jones County,2017,66799.78906,2314
28574,NC,Richlands,"Jacksonville, NC",Onslow County,2017,137763.9857,17724
28577,NC,0,"Morehead City, NC",Carteret County,2017,107159.5374,407
28578,NC,Seven Springs,"Goldsboro, NC",Wayne County,2017,102658.8525,6684
28579,NC,Marshallberg,"Morehead City, NC",Carteret County,2017,183146.9212,540
28580,NC,Snow Hill,0,Greene County,2017,107444.224,12749
28581,NC,Stacy,"Morehead City, NC",Carteret County,2017,149544.9305,244
28582,NC,Stella,"Jacksonville, NC",Onslow County,2017,232924.5406,2457
28584,NC,0,"Morehead City, NC",Carteret County,2017,226936.2862,12062
28585,NC,Trenton,"New Bern, NC",Jones County,2017,58181.74,3692
28586,NC,Vanceboro,"New Bern, NC",Craven County,2017,110545.6466,7677
28587,NC,Vandemere,"New Bern, NC",Pamlico County,2017,94031.25556,319
28590,NC,Winterville,"Greenville, NC",Pitt County,2017,168886.1612,24583
28594,NC,Emerald Isle,"Morehead City, NC",Carteret County,2017,422511.1228,3705
28601,NC,Hickory,"Hickory-Lenoir-Morganton, NC",Catawba County,2017,155559.8558,50316
28602,NC,Hickory,"Hickory-Lenoir-Morganton, NC",Catawba County,2017,120073.7325,28654
28604,NC,Banner Elk,0,Avery County,2017,263791.0278,7342
28605,NC,Blowing Rock,"Boone, NC",Watauga County,2017,390786.1512,3267
28606,NC,Boomer,"North Wilkesboro, NC",Wilkes County,2017,130862.2969,1746
28607,NC,Boone,"Boone, NC",Watauga County,2017,268820.2957,35561
28609,NC,Catawba,"Hickory-Lenoir-Morganton, NC",Catawba County,2017,147162.9369,5892
28610,NC,Claremont,"Hickory-Lenoir-Morganton, NC",Catawba County,2017,115856.0585,10050
28611,NC,Collettsville,"Hickory-Lenoir-Morganton, NC",Caldwell County,2017,82646.01181,1247
28612,NC,0,"Hickory-Lenoir-Morganton, NC",Burke County,2017,110722.672,12627
28613,NC,Conover,"Hickory-Lenoir-Morganton, NC",Catawba County,2017,132164.9554,22631
28615,NC,Creston,0,Ashe County,2017,182128.2843,1940
28617,NC,Crumpler,0,Ashe County,2017,206135.6674,2266
28618,NC,Deep Gap,"Boone, NC",Watauga County,2017,186881.5836,2255
28621,NC,Elkin,"Mount Airy, NC",Surry County,2017,119133.7641,10693
28622,NC,Elk Park,0,Avery County,2017,0,1861
28623,NC,Ennice,0,Alleghany County,2017,131978.3615,1519
28624,NC,Ferguson,"North Wilkesboro, NC",Wilkes County,2017,159438.9695,1163
28625,NC,Statesville,"Charlotte-Concord-Gastonia, NC-SC",Iredell County,2017,154166.9502,39362
28626,NC,Fleetwood,0,Ashe County,2017,232855.3943,2757
28627,NC,Glade Valley,0,Alleghany County,2017,216802.0796,916
28630,NC,Granite Falls,"Hickory-Lenoir-Morganton, NC",Caldwell County,2017,123275.4977,20351
28631,NC,Grassy Creek,0,Ashe County,2017,218425.0612,762
28634,NC,Harmony,"Charlotte-Concord-Gastonia, NC-SC",Iredell County,2017,133975.6064,5054
28635,NC,Hays,"North Wilkesboro, NC",Wilkes County,2017,116157.7438,4045
28636,NC,Hiddenite,"Hickory-Lenoir-Morganton, NC",Alexander County,2017,113864.9647,4975
28638,NC,Sawmills,"Hickory-Lenoir-Morganton, NC",Caldwell County,2017,115989.1289,11409
28640,NC,Jefferson,0,Ashe County,2017,213740.1832,4702
28642,NC,Jonesville,"Winston-Salem, NC",Yadkin County,2017,102763.7751,5824
28643,NC,Lansing,0,Ashe County,2017,181994.2556,3704
28644,NC,Laurel Springs,0,Alleghany County,2017,184712.0524,1015
28645,NC,Lenoir,"Hickory-Lenoir-Morganton, NC",Caldwell County,2017,101430.0028,46589
28646,NC,Linville,0,Avery County,2017,0,419
28650,NC,Maiden,"Hickory-Lenoir-Morganton, NC",Catawba County,2017,136913.6648,11527
28651,NC,Millers Creek,"North Wilkesboro, NC",Wilkes County,2017,131505.8968,7029
28654,NC,Moravian Falls,"North Wilkesboro, NC",Wilkes County,2017,148939.7503,3483
28655,NC,Morganton,"Hickory-Lenoir-Morganton, NC",Burke County,2017,123936.6112,54339
28657,NC,Newland,0,Avery County,2017,133844.1581,9298
28658,NC,Newton,"Hickory-Lenoir-Morganton, NC",Catawba County,2017,118262.5582,27508
28659,NC,North Wilkesboro,"North Wilkesboro, NC",Wilkes County,2017,112306.9891,20395
28660,NC,Olin,"Charlotte-Concord-Gastonia, NC-SC",Iredell County,2017,174974.3994,2183
28663,NC,Piney Creek,0,Alleghany County,2017,184433.5789,727
28665,NC,Purlear,"North Wilkesboro, NC",Wilkes County,2017,155887.3269,2129
28668,NC,Roaring Gap,0,Alleghany County,2017,247520.0673,428
28669,NC,Roaring River,"North Wilkesboro, NC",Wilkes County,2017,133371.9095,2707
28670,NC,Ronda,"North Wilkesboro, NC",Wilkes County,2017,119515.7404,3605
28673,NC,Sherrills Ford,"Hickory-Lenoir-Morganton, NC",Catawba County,2017,295540.5019,6402
28675,NC,Sparta,0,Alleghany County,2017,133418.6571,6951
